Id	RoleType	Desc
int	int	int	string
#唯一Id	#唯一Id	角色Id	描述
1002	1002	1	desc1
1003	1003	0	desc2
1004	1004	1	desc3
1005	1005	0	desc4
1006	1006	0	desc5
1007	1007	1	desc6
1008	1008	0	desc7
1009	1009	1	desc8
1010	1010	0	desc9
1011	1011	0	desc10
1012	1012	1	desc11
1013	1013	0	desc12
1014	1014	1	desc13
1015	1015	0	desc14
1016	1016	0	desc15
1017	1017	1	desc16
1018	1018	0	desc17
1019	1019	1	desc18
1020	1020	0	desc19
1021	1021	0	desc20
1022	1022	1	desc21
1023	1023	0	desc22
1024	1024	1	desc23
1025	1025	0	desc24
1026	1026	0	desc25
